Crop,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
Blackgram,Rabi,Theni,7264,927.7,824073,1976,0.85
Chilli,Rabi,Rajapalayam,4828,768.1,1776923,3671,1.47
Mango,Whole Year,Dindigul,33284,683.2,2212308,4081,4.16
Greengram,Kharif,Palani,13989,855.0,1122602,3123,0.86
Mango,Whole Year,Theni,29196,1006.2,1811083,8843,7.74
Maize,Rabi,Attur,15252,966.4,2280669,5238,3.51
Rice,Kharif,Salem,79821,995.8,5058924,13984,3.1
Turmeric,Kharif,Dindigul,2281,833.3,316968,3074,3.5
Papaya,Whole Year,Madurai,5681,1035.8,1376226,4307,36.83
Tapioca,Whole Year,Dindigul,5857,627.1,1401362,3045,25.91
Greengram,Kharif,Sivakasi,6476,488.6,692101,1715,0.31
Papaya,Whole Year,Attur,4996,1278.6,411685,2376,30.55
Banana,Whole Year,Virudhunagar,21053,1179.5,3735292,9134,15.19
Coffee,Whole Year,Namakkal,3354,1134.6,1310666,3634,1.32
Sugarcane,Whole Year,Sivakasi,55053,1192.8,7850764,13055,41.65
Turmeric,Kharif,Namakkal,7861,952.4,774677,3259,2.64
Maize,Rabi,Dindigul,44634,935.4,1842967,2703,3.24
Greengram,Kharif,Rajapalayam,5763,580.3,158926,2494,0.36
Maize,Rabi,Salem,21653,1016.1,2298297,7153,2.57
Greengram,Kharif,Dindigul,11046,614.0,695165,2529,0.34
Cotton,Kharif,Theni,36382,1088.4,3914525,7996,2.15
Sorghum,Rabi,Dindigul,7849,663.2,533904,4294,1.17
Maize,Rabi,Madurai,2694,802.3,482254,2482,1.28
Turmeric,Kharif,Madurai,8847,1090.3,1742211,1707,6.4
Millet,Kharif,Kodaikanal,23624,999.5,1056398,4102,1.36
Greengram,Kharif,Virudhunagar,4598,644.3,432756,1671,0.4
Mango,Whole Year,Kodaikanal,6019,1066.5,884712,3488,5.63
Chilli,Rabi,Karur,11808,532.8,1141979,5493,2.45
Chickpea,Rabi,Kodaikanal,1284,1034.8,484683,598,0.62
Papaya,Whole Year,Dindigul,5605,949.5,1357439,5799,17.41
Pigeonpea,Kharif,Kodaikanal,2824,797.9,500679,1271,0.49
Pigeonpea,Kharif,Virudhunagar,7327,883.2,821577,599,0.89
Groundnut,Rabi,Sivakasi,40476,724.0,1888283,6650,1.48
Chilli,Rabi,Virudhunagar,829,997.2,282875,4417,1.92
Sesame,Kharif,Namakkal,7623,490.6,704402,2683,0.67
Sorghum,Rabi,Palani,5609,950.7,732697,1610,0.91
Coffee,Whole Year,Attur,1563,877.6,879756,1768,1.36
Rice,Rabi,Rajapalayam,27169,821.4,4886276,9727,1.2
Banana,Whole Year,Rajapalayam,39835,1197.9,5209503,11514,23.93
Cotton,Kharif,Salem,24090,602.2,3781145,13055,1.62
Cotton,Kharif,Namakkal,6912,587.7,2299389,8833,1.31
Sesame,Kharif,Kodaikanal,4897,583.7,229009,1641,0.58
Chickpea,Rabi,Rajapalayam,906,767.5,383594,1184,0.71
Sugarcane,Whole Year,Sivakasi,65387,860.3,6594837,12406,68.4
Coffee,Whole Year,Namakkal,259,1163.0,199640,1366,0.9
Sugarcane,Whole Year,Karur,82860,899.2,6454086,42866,42.21
Sorghum,Kharif,Rajapalayam,9814,500.1,1505816,2280,1.27
Banana,Whole Year,Sivakasi,7445,1060.1,1012973,7625,18.58
Tapioca,Whole Year,Theni,20853,1183.9,2971065,4416,33.52
Tapioca,Whole Year,Theni,1925,1370.5,807280,1891,31.59
Coconut,Whole Year,Rajapalayam,28122,946.3,2265509,4450,5.51
Maize,Kharif,Palani,15895,1088.1,1680729,6532,2.3
Tapioca,Whole Year,Kodaikanal,1880,1136.3,425286,1233,18.78
Turmeric,Kharif,Sivakasi,275,791.2,1140854,3100,2.82
Pomegranate,Whole Year,Salem,1346,600.0,264174,1668,4.06
Cotton,Kharif,Karur,38169,805.3,5063925,5623,1.4
Pigeonpea,Kharif,Karur,3684,756.5,208645,1484,0.75
Banana,Whole Year,Madurai,4918,1352.1,1053470,6843,22.61
Groundnut,Rabi,Rajapalayam,23071,681.7,1926841,10770,1.94
Rice,Kharif,Virudhunagar,28127,772.4,4389420,16432,2.03
Greengram,Kharif,Virudhunagar,2979,441.6,665622,1612,0.48
Groundnut,Kharif,Palani,13786,1077.8,2885082,8160,2.6
Cotton,Kharif,Namakkal,2896,634.2,1348803,7344,1.67
Groundnut,Kharif,Dindigul,28193,930.4,4212319,7345,1.59
Sugarcane,Whole Year,Attur,44069,1483.1,6953067,20610,79.11
Papaya,Whole Year,Kodaikanal,4539,1175.3,1219067,5022,28.33
Sugarcane,Whole Year,Rajapalayam,74944,1420.6,6074755,30662,88.01
Blackgram,Rabi,Salem,14745,527.4,390563,2153,0.4
Turmeric,Kharif,Salem,10500,847.4,2585151,5892,5.08
Pigeonpea,Kharif,Rajapalayam,459,689.3,207862,100,0.71
Cotton,Kharif,Karur,20211,643.8,2201564,7824,1.45
Pomegranate,Whole Year,Madurai,1677,615.6,682052,1292,5.84
Pigeonpea,Kharif,Namakkal,7275,973.2,628759,100,0.53
Tapioca,Whole Year,Palani,1632,1275.9,644187,737,34.71
Sesame,Kharif,Madurai,2855,707.2,393435,620,0.35
Turmeric,Kharif,Attur,12636,1216.7,3141514,8829,5.52
Coconut,Whole Year,Dindigul,33752,884.7,2242012,7713,8.42
Coffee,Whole Year,Dindigul,3998,1310.3,664594,4106,0.92
Millet,Kharif,Madurai,5885,531.7,394324,3079,1.29
Pigeonpea,Kharif,Namakkal,9608,713.5,862494,2116,0.6
Tapioca,Whole Year,Rajapalayam,11581,886.0,2176612,2002,21.38
Blackgram,Rabi,Namakkal,17341,769.4,735303,4458,0.67
Cotton,Kharif,Rajapalayam,15431,623.0,1291535,10581,0.73
Rice,Rabi,Attur,17422,1263.3,1037978,12355,3.31
Groundnut,Rabi,Virudhunagar,13324,718.9,2490564,7284,1.71
Papaya,Whole Year,Attur,1803,856.6,368830,2741,21.23
Cotton,Kharif,Rajapalayam,43269,508.4,5674780,16567,1.81
Cotton,Kharif,Salem,30625,854.8,2042772,4235,1.45
Banana,Whole Year,Attur,24656,1372.6,1366782,10636,13.75
Maize,Rabi,Theni,39815,889.4,1901461,7520,2.53
Sorghum,Rabi,Karur,15126,379.8,1625920,4187,0.79
Turmeric,Kharif,Salem,6539,1088.1,1495704,4892,4.37
Sesame,Kharif,Palani,1019,538.9,231557,941,0.31
Banana,Whole Year,Rajapalayam,16940,1085.7,2601782,4514,16.49
Millet,Kharif,Dindigul,7188,765.1,995795,3588,1.01
Cotton,Kharif,Virudhunagar,31814,867.9,4783022,5524,1.73
Banana,Whole Year,Namakkal,41395,1340.4,6045025,21589,34.24
Chilli,Kharif,Karur,9787,540.4,2549203,7792,1.66
Cotton,Kharif,Salem,8445,750.3,1483193,8376,1.47
Pomegranate,Whole Year,Palani,331,485.8,424139,1035,7.47
Coconut,Whole Year,Kodaikanal,32690,1394.6,1515729,3825,9.41
Millet,Kharif,Palani,3525,690.5,680512,1241,0.81
Greengram,Kharif,Kodaikanal,10091,972.1,1034362,3338,0.52
Sesame,Kharif,Karur,4293,755.3,128919,1426,0.42
Banana,Whole Year,Kodaikanal,37389,1019.8,1683823,18471,20.48
Pigeonpea,Kharif,Theni,6430,1148.8,670213,1817,0.9
Rice,Kharif,Attur,59760,1304.7,3767826,22497,1.08
Mango,Whole Year,Palani,1662,843.6,631273,2540,4.06
Banana,Whole Year,Salem,31006,870.1,2595121,11807,23.55
Rice,Kharif,Attur,54873,1292.9,3651287,9012,2.85
Mango,Whole Year,Namakkal,38013,604.3,1470858,6953,4.9
Greengram,Kharif,Sivakasi,14919,416.5,904972,1412,0.54
Sorghum,Rabi,Attur,6721,757.0,338514,2514,0.49
Sorghum,Kharif,Palani,18837,629.8,687823,1461,1.05
Pigeonpea,Kharif,Karur,3470,971.4,532506,2002,0.82
Papaya,Whole Year,Madurai,2949,1126.1,1250979,3170,18.38
Millet,Kharif,Virudhunagar,20141,814.5,1917395,3030,1.6
Maize,Rabi,Dindigul,33873,999.6,3563930,8281,1.57
Pomegranate,Whole Year,Namakkal,4730,632.2,1229969,2008,8.14
Cotton,Kharif,Attur,57291,609.0,1756047,19446,1.88
Millet,Kharif,Madurai,19915,809.6,2182704,3821,1.7
Turmeric,Kharif,Dindigul,3789,817.1,1553279,4786,2.82
Blackgram,Rabi,Dindigul,12681,542.3,1138574,1810,0.67
Pigeonpea,Kharif,Virudhunagar,473,587.4,94251,256,0.34
Mango,Whole Year,Rajapalayam,33974,829.3,1345212,11937,7.74
Sugarcane,Whole Year,Karur,87608,1462.2,6967879,11280,57.66
Chilli,Rabi,Madurai,6639,829.1,2081171,4771,1.04
Sesame,Kharif,Salem,9406,687.7,621163,1528,0.37
Chilli,Rabi,Kodaikanal,10380,831.8,2378999,1746,1.0
Papaya,Whole Year,Madurai,3922,841.4,1197344,2445,30.65
Sugarcane,Whole Year,Sivakasi,97952,1307.1,8969492,41602,77.64
Sesame,Kharif,Dindigul,3237,777.1,444637,1211,0.34
Greengram,Kharif,Virudhunagar,7130,620.2,204236,1261,0.61
Millet,Kharif,Sivakasi,960,653.3,704183,3013,0.85
Millet,Kharif,Attur,7660,552.1,997859,1225,0.84
Millet,Kharif,Virudhunagar,1034,692.9,419060,1678,0.82
Rice,Kharif,Dindigul,56466,1014.1,6500603,12471,1.24
Papaya,Whole Year,Kodaikanal,5507,1349.6,673119,2390,21.37
Millet,Kharif,Karur,4405,868.0,1008230,1404,1.46
Pigeonpea,Kharif,Virudhunagar,4539,796.8,149952,1026,0.53
Greengram,Kharif,Salem,12758,480.1,809049,2752,0.42
Papaya,Whole Year,Sivakasi,172,1227.3,576874,831,22.06
Coffee,Whole Year,Sivakasi,1746,1490.1,845146,1801,0.72
Pomegranate,Whole Year,Sivakasi,3007,428.4,685279,1304,7.67
Rice,Kharif,Salem,60293,946.8,2368309,22860,0.96
Sorghum,Kharif,Theni,9588,1006.5,462412,4222,0.93
Turmeric,Kharif,Madurai,3558,912.7,1329133,1302,2.21
Blackgram,Rabi,Theni,19566,983.6,1361115,2789,0.93
Turmeric,Kharif,Namakkal,4367,944.7,1445081,3759,5.16
Mango,Whole Year,Dindigul,13260,864.9,2082181,4969,4.98
Coffee,Whole Year,Rajapalayam,216,1460.5,285652,1217,1.04
Coffee,Whole Year,Attur,2918,992.9,1081451,3094,1.09
Papaya,Whole Year,Palani,214,1459.3,207231,1959,22.31
Tapioca,Whole Year,Sivakasi,13767,790.2,2403676,3703,20.65
Cotton,Kharif,Salem,9521,688.5,2872880,2295,1.68
Coffee,Whole Year,Madurai,4033,1200.4,562757,3237,0.43
Pomegranate,Whole Year,Karur,4311,662.2,1219630,4443,6.55
Tapioca,Whole Year,Salem,6656,1004.1,1678156,2609,24.84
Coffee,Whole Year,Madurai,395,1449.4,440051,457,1.5
Groundnut,Rabi,Palani,9710,763.9,779839,2487,1.55
Chilli,Rabi,Virudhunagar,9677,729.2,1863577,3954,1.53
Sesame,Kharif,Namakkal,8755,710.0,897219,891,0.65
Tapioca,Whole Year,Dindigul,23254,692.2,3077094,5585,31.84
Groundnut,Kharif,Attur,12003,649.5,2698390,1700,0.81
Cotton,Kharif,Salem,18765,568.4,1483131,11108,1.74
Coconut,Whole Year,Namakkal,20168,866.5,1816415,1864,8.32
Banana,Whole Year,Salem,34802,1400.7,4265397,5307,35.45
Coffee,Whole Year,Kodaikanal,3103,1085.7,1089385,1880,0.57
Cotton,Kharif,Virudhunagar,54870,859.1,3831838,11354,1.65
Sorghum,Rabi,Karur,5053,514.7,500808,3530,0.72
Mango,Whole Year,Sivakasi,17915,872.4,1620279,2985,5.12
Sorghum,Kharif,Attur,1304,487.9,560447,1625,0.48
Pomegranate,Whole Year,Rajapalayam,1583,818.4,321816,100,10.58
Pomegranate,Whole Year,Attur,3155,575.3,1000976,989,4.08
Pigeonpea,Kharif,Namakkal,1718,921.3,200599,304,0.75
Sorghum,Rabi,Karur,11298,677.8,566805,3390,1.23
Groundnut,Rabi,Theni,21169,719.9,796278,7190,2.21
Sorghum,Kharif,Kodaikanal,23416,916.0,1624486,2167,0.68
Sugarcane,Whole Year,Theni,40129,1263.4,8302184,12029,48.37
Coconut,Whole Year,Attur,20440,784.3,1923447,6677,7.1
Rice,Kharif,Sivakasi,32782,1063.3,1677335,7642,1.77
Cotton,Kharif,Madurai,60804,521.6,3312999,5320,1.2
Groundnut,Kharif,Palani,19312,1182.1,1757872,4188,1.81
Maize,Rabi,Sivakasi,38296,747.6,3361512,9808,3.07
Turmeric,Kharif,Rajapalayam,7121,1083.5,687579,2268,2.6
Greengram,Kharif,Salem,11673,440.9,273189,3060,0.66
Sugarcane,Whole Year,Dindigul,69600,1232.0,5168675,17004,43.82
Rice,Kharif,Dindigul,47175,1031.5,2687170,16108,1.72
Groundnut,Rabi,Rajapalayam,24819,610.7,2440565,3046,1.72
Blackgram,Rabi,Attur,6949,542.2,435636,2013,0.32
Banana,Whole Year,Karur,2792,1121.2,2162575,4118,19.86
Sorghum,Kharif,Madurai,9648,639.6,1442804,2764,0.87
Sugarcane,Whole Year,Attur,17756,1097.6,5826351,19377,70.9
Sugarcane,Whole Year,Madurai,16378,1163.2,5527047,8055,58.77
Turmeric,Kharif,Salem,8767,1027.5,1932871,1905,4.43
Groundnut,Rabi,Namakkal,5057,958.0,2009173,6539,1.03
Mango,Whole Year,Attur,6285,1029.5,1976817,3037,3.41
Blackgram,Rabi,Namakkal,16388,841.1,1248920,2417,0.71
Sesame,Kharif,Dindigul,1752,777.4,450834,100,0.45
Maize,Kharif,Madurai,5077,820.2,1836378,454,1.24
Maize,Rabi,Madurai,7056,1085.4,1751922,5096,2.5
Groundnut,Kharif,Karur,17886,825.3,3104028,3891,0.87
Coffee,Whole Year,Sivakasi,768,785.4,689528,2278,1.04
Pigeonpea,Kharif,Karur,11019,687.7,809903,2155,0.52
Coconut,Whole Year,Namakkal,32402,782.2,2625181,4757,9.15
Chilli,Kharif,Theni,4986,968.8,1139698,4373,1.64
Rice,Kharif,Kodaikanal,43332,1561.0,1414246,18312,1.42
Rice,Rabi,Rajapalayam,40897,1442.3,5002530,10039,2.45
Rice,Rabi,Theni,71425,1526.0,6885799,11237,1.25
Groundnut,Rabi,Virudhunagar,46453,578.0,3902455,9692,2.07
Sugarcane,Whole Year,Madurai,28923,1269.5,7262775,11539,50.12
Cotton,Kharif,Palani,10342,1242.8,2789947,8265,1.72
Coffee,Whole Year,Madurai,1734,1048.5,755269,1587,1.28
Millet,Kharif,Sivakasi,12642,635.1,484986,3505,0.59
Chilli,Kharif,Salem,1446,552.9,930935,2024,2.1
Papaya,Whole Year,Salem,5712,1011.1,1681945,1745,34.59
Chickpea,Rabi,Rajapalayam,6395,888.7,701592,1360,0.66
Blackgram,Rabi,Palani,1788,984.0,294899,1257,0.88
Sesame,Kharif,Dindigul,6788,579.9,786775,1779,0.62
Papaya,Whole Year,Madurai,4950,825.7,769267,2546,18.59
Groundnut,Kharif,Palani,40372,1192.5,3681460,12485,2.1
Blackgram,Rabi,Kodaikanal,19658,1173.1,1136621,100,0.92
Greengram,Kharif,Virudhunagar,7210,639.0,724408,1081,0.43
Pomegranate,Whole Year,Kodaikanal,817,898.2,354086,883,5.88
Tapioca,Whole Year,Virudhunagar,9966,732.3,1813044,2894,29.03
Papaya,Whole Year,Karur,4825,1019.4,567993,4069,29.96
Tapioca,Whole Year,Karur,1881,1111.7,1435380,1686,22.15
Papaya,Whole Year,Karur,4241,852.3,866468,5999,21.12
Millet,Kharif,Palani,11661,805.5,1708909,3945,1.39
Coffee,Whole Year,Namakkal,1005,919.1,806281,978,0.5
Coffee,Whole Year,Sivakasi,3300,1288.6,311442,1824,1.15
Blackgram,Rabi,Madurai,6020,646.9,428918,1083,0.82
Chickpea,Rabi,Rajapalayam,8117,533.1,1077628,1877,0.89
Mango,Whole Year,Palani,11106,812.5,975083,3177,6.15
Pomegranate,Whole Year,Kodaikanal,2524,679.4,289494,1660,9.87
Sesame,Kharif,Rajapalayam,627,751.8,175445,722,0.36
Millet,Kharif,Palani,9399,748.4,562145,788,1.62
Tapioca,Whole Year,Karur,4780,1045.2,492664,2783,29.78
Maize,Rabi,Palani,40208,958.7,2296647,9884,1.94
Coconut,Whole Year,Virudhunagar,10788,962.3,2100361,4528,9.09
Chickpea,Rabi,Sivakasi,11725,459.3,510182,212,0.88
Coconut,Whole Year,Karur,40712,1012.7,1242603,7061,5.16
Papaya,Whole Year,Namakkal,3086,914.6,1203106,797,18.0
Mango,Whole Year,Namakkal,23407,766.4,3513653,4618,2.25
Coconut,Whole Year,Attur,1978,851.4,1456239,5253,5.32
Mango,Whole Year,Virudhunagar,26724,577.7,1944454,2900,6.47
Turmeric,Kharif,Virudhunagar,11928,1013.4,1082755,5336,5.46
Chilli,Kharif,Salem,10486,979.3,1299946,9746,1.63
Rice,Kharif,Karur,30588,1092.6,4153587,10282,1.09
Cotton,Kharif,Theni,12096,1116.8,2652183,6536,2.08
Turmeric,Kharif,Theni,10516,1263.6,950573,3017,4.06
Sorghum,Rabi,Namakkal,5690,699.0,433018,1747,1.11
Cotton,Kharif,Theni,2986,1082.3,1148155,5503,1.56
Tapioca,Whole Year,Theni,6920,989.9,1120820,3313,33.46
Pigeonpea,Kharif,Salem,6711,789.0,622535,1312,0.34
Greengram,Kharif,Kodaikanal,8195,564.1,127873,734,0.68
Papaya,Whole Year,Rajapalayam,958,1024.7,600685,1804,37.98
Sorghum,Kharif,Sivakasi,22686,580.4,486217,1130,1.21
Pomegranate,Whole Year,Rajapalayam,2655,721.1,299011,100,6.2
Chilli,Kharif,Palani,9087,850.1,1930926,3392,1.72
Coffee,Whole Year,Virudhunagar,2921,1102.8,1303642,1927,0.75
Maize,Rabi,Virudhunagar,4940,886.3,492444,3759,3.24
Greengram,Kharif,Palani,4856,788.5,726124,818,0.29
Coffee,Whole Year,Karur,4345,1163.8,1028076,3317,0.63
Cotton,Kharif,Attur,54824,998.4,2340008,4662,1.28
Chickpea,Rabi,Dindigul,12285,858.0,803143,3464,0.84
Pigeonpea,Kharif,Virudhunagar,7549,583.3,823893,862,0.91
Blackgram,Rabi,Attur,13472,615.5,1173228,2567,0.41
Millet,Kharif,Salem,28337,598.4,2438808,5992,0.6
Banana,Whole Year,Attur,10468,1299.5,1100485,11265,17.75
Chilli,Kharif,Dindigul,4568,914.6,1010053,3930,2.53
Cotton,Kharif,Sivakasi,9473,547.6,1637941,4283,0.49
Maize,Kharif,Palani,30923,1257.3,1818062,3333,2.92
Coconut,Whole Year,Namakkal,56263,1173.3,1630669,13183,5.78
Groundnut,Kharif,Palani,15585,1211.1,2915020,6130,1.74
Sugarcane,Whole Year,Salem,78443,1294.4,11595504,29513,69.19
Turmeric,Kharif,Virudhunagar,1368,1026.8,1307362,1825,6.1
Sugarcane,Whole Year,Theni,49396,1134.7,6022564,24832,52.8
Maize,Kharif,Palani,24016,1007.4,2035499,7159,2.09
Coffee,Whole Year,Rajapalayam,221,1275.0,224267,1098,0.92
Groundnut,Rabi,Madurai,19066,598.9,982648,7361,1.54
Sorghum,Kharif,Rajapalayam,22956,479.3,1545978,4721,1.44
Greengram,Kharif,Dindigul,6804,467.2,251785,804,0.73
Groundnut,Kharif,Madurai,23382,826.5,2236594,5810,1.9
Groundnut,Rabi,Theni,54927,997.9,3143290,4829,1.22
Cotton,Kharif,Salem,27920,628.1,3399605,4100,0.7
Banana,Whole Year,Dindigul,10398,1058.3,3203925,7274,24.55
Rice,Rabi,Namakkal,19092,829.2,1971973,8398,0.94
Pigeonpea,Kharif,Sivakasi,11702,596.4,605093,2176,0.42
Mango,Whole Year,Palani,10928,1261.8,1365431,4109,5.46
Chickpea,Rabi,Namakkal,4996,757.7,127734,1503,1.06
Groundnut,Rabi,Palani,19169,862.4,1060862,4056,1.65
Coconut,Whole Year,Kodaikanal,23980,1487.8,2479252,4950,8.12
Coconut,Whole Year,Attur,57469,704.1,2620517,2676,5.49
Tapioca,Whole Year,Virudhunagar,2589,733.4,701357,2028,18.59
Banana,Whole Year,Rajapalayam,5473,1123.5,2639921,2256,31.11
Maize,Rabi,Sivakasi,34406,771.2,3515657,5694,2.57
Turmeric,Kharif,Karur,3594,880.2,973028,4429,2.96
Greengram,Kharif,Namakkal,14143,689.9,273040,1831,0.31
Millet,Kharif,Palani,28462,791.7,683148,3116,1.1
Millet,Kharif,Attur,27098,493.8,1564143,2265,0.98
Coffee,Whole Year,Rajapalayam,1286,1518.1,845907,1445,0.89
Sesame,Kharif,Palani,2163,798.9,116604,1269,0.75
Chickpea,Rabi,Virudhunagar,11127,412.2,340603,1029,0.79
Sugarcane,Whole Year,Madurai,67472,1078.6,9879213,8822,68.3
Chickpea,Rabi,Namakkal,3920,819.9,545626,551,0.52
Tapioca,Whole Year,Theni,21568,1257.4,3227366,5629,20.98
Pigeonpea,Kharif,Karur,6424,918.2,739242,2025,0.56
Pigeonpea,Kharif,Salem,9700,694.1,615724,1043,0.71
Chickpea,Rabi,Rajapalayam,2050,787.3,416104,464,0.7
Pigeonpea,Kharif,Karur,6128,1061.9,110846,1830,0.82
Pomegranate,Whole Year,Kodaikanal,2653,1018.4,774497,773,6.99
Coconut,Whole Year,Palani,49361,1106.7,1540937,8499,8.78
Chickpea,Rabi,Karur,2531,815.9,347845,1863,0.86
Chilli,Kharif,Palani,9744,792.1,2227280,6565,1.1
Blackgram,Rabi,Kodaikanal,1726,876.0,615374,363,0.98
Banana,Whole Year,Theni,29824,1227.4,2209314,6414,21.25
Turmeric,Kharif,Theni,11523,1612.6,1602492,1458,5.92
Rice,Kharif,Rajapalayam,45236,1132.7,2402186,18631,1.36
Rice,Rabi,Rajapalayam,8518,885.9,2330199,6516,1.98
Rice,Rabi,Namakkal,75141,1211.7,4697806,7928,0.93
Chickpea,Rabi,Virudhunagar,8416,525.2,611454,347,0.64
Pigeonpea,Kharif,Sivakasi,779,637.8,248689,220,0.42
Sugarcane,Whole Year,Namakkal,11135,1350.8,5149988,15701,48.88
Chilli,Kharif,Madurai,8184,944.0,1015267,4046,1.49
Blackgram,Rabi,Karur,14256,909.4,1241119,4425,0.75
Chilli,Kharif,Dindigul,7471,501.0,1177636,4646,1.94
Chickpea,Rabi,Attur,16571,678.0,1011329,2457,0.74
Greengram,Kharif,Salem,4852,665.2,734351,576,0.34
Greengram,Kharif,Salem,9891,425.5,714466,1369,0.34
Sesame,Kharif,Kodaikanal,7205,1013.3,756789,1641,0.67
Cotton,Kharif,Theni,44515,1017.2,1874376,7983,1.92
Papaya,Whole Year,Karur,2801,1023.2,1265724,1543,22.74
Mango,Whole Year,Rajapalayam,8476,644.7,693528,6422,5.65
Sesame,Kharif,Virudhunagar,189,530.4,141554,374,0.25
Coconut,Whole Year,Virudhunagar,32034,748.5,3919896,6257,8.19
Cotton,Kharif,Palani,14868,791.4,1393434,10918,1.8
Sugarcane,Whole Year,Theni,18713,1729.1,5262262,15917,56.29
Groundnut,Rabi,Madurai,40072,750.9,4161940,6779,2.05
Banana,Whole Year,Virudhunagar,9419,908.3,2552197,1631,34.98
Chickpea,Rabi,Kodaikanal,3385,1162.7,226447,1390,0.96
Sesame,Kharif,Kodaikanal,7775,818.4,481284,521,0.42
Groundnut,Kharif,Karur,13964,558.4,1452414,8526,0.89
Millet,Kharif,Sivakasi,14929,409.1,908906,3490,0.99
Chickpea,Rabi,Kodaikanal,2642,1002.8,553521,2157,0.57
Turmeric,Kharif,Kodaikanal,13296,1134.2,1981825,5397,6.23
Turmeric,Kharif,Rajapalayam,6084,1222.1,945862,1283,6.16
Sesame,Kharif,Salem,1887,451.6,375627,910,0.48
Sesame,Kharif,Namakkal,596,592.7,136040,890,0.35
Pigeonpea,Kharif,Attur,1319,842.8,271500,100,0.34
Sesame,Kharif,Namakkal,8966,531.2,602309,1984,0.49
Blackgram,Rabi,Attur,6638,585.0,671282,1791,0.9
Maize,Kharif,Sivakasi,28621,1024.6,3471356,5567,2.7
Coconut,Whole Year,Palani,48074,1518.7,4521555,4612,8.07
Groundnut,Rabi,Salem,30068,507.2,1994037,7101,1.65
Coconut,Whole Year,Karur,9588,1157.5,1071066,1109,5.22
Chilli,Rabi,Rajapalayam,8178,915.6,1078986,2367,1.5
Papaya,Whole Year,Attur,3004,1214.4,1483039,3562,42.76
Cotton,Kharif,Namakkal,29793,985.3,1587229,8576,1.71
