N,P,K,temperature,humidity,ph,rainfall,label
26.17,60.62,17.32,34.57,63.11,7.05,171.68,Pigeonpea
16.77,16.88,26.3,32.96,86.66,6.92,137.87,Coconut
56.63,64.26,54.85,31.84,87.78,6.6,145.95,Papaya
32.22,60.02,21.56,32.33,69.35,6.54,131.71,Pigeonpea
48.83,72.02,49.96,26.34,88.4,6.35,148.12,Papaya
48.96,62.92,50.57,32.16,88.03,6.38,190.58,Papaya
19.12,17.99,38.61,33.87,39.17,6.84,41.52,Pomegranate
21.01,27.0,39.33,31.62,35.03,7.08,65.69,Pomegranate
63.84,46.6,45.87,26.86,87.2,6.26,201.54,Rice
85.78,51.36,37.0,32.27,78.62,6.85,72.84,Maize
46.74,47.4,34.14,30.39,68.97,7.17,95.14,Sesame
67.46,41.6,47.12,26.69,55.8,5.9,78.38,Tapioca
19.47,54.3,21.22,26.62,72.43,6.7,87.92,Groundnut
84.61,48.58,42.99,25.29,79.36,6.81,194.25,Rice
100.65,21.2,28.27,32.42,84.05,6.61,170.04,Sugarcane
82.22,77.06,50.59,29.19,88.62,5.64,110.13,Banana
86.15,19.4,32.64,18.79,63.47,6.31,129.78,Coffee
85.15,27.52,36.46,21.56,72.07,6.49,173.91,Coffee
71.96,42.15,41.04,26.09,82.9,7.02,261.23,Rice
23.13,66.31,18.42,27.9,70.42,7.32,48.75,Greengram
38.76,52.54,73.16,23.23,24.31,7.22,72.54,Chickpea
28.79,56.4,20.06,29.35,66.48,6.09,62.21,Blackgram
97.05,35.99,35.82,30.54,88.13,6.2,222.96,Sugarcane
122.38,43.12,20.44,35.1,76.47,7.47,73.23,Cotton
58.81,29.54,28.72,28.0,50.12,6.31,55.92,Sorghum
99.9,56.63,24.45,31.25,63.63,6.98,84.57,Cotton
10.33,62.58,31.34,32.85,73.77,6.08,165.67,Pigeonpea
24.63,26.26,36.63,29.56,85.45,6.73,157.39,Coconut
48.88,62.88,83.55,23.99,28.95,6.88,87.23,Chickpea
68.82,41.92,38.64,22.32,89.6,6.89,249.44,Rice
52.45,64.98,57.55,33.04,83.91,6.44,165.7,Papaya
85.0,76.93,44.88,31.87,85.48,6.89,165.41,Banana
17.92,20.31,40.17,34.01,59.03,6.36,77.47,Mango
16.83,16.75,33.19,35.64,61.64,7.44,84.25,Mango
100.86,57.05,55.21,31.29,61.95,7.14,69.46,Chilli
126.62,62.61,47.8,30.65,67.78,6.53,89.87,Chilli
33.07,48.82,26.98,31.91,72.56,6.93,69.87,Greengram
72.2,35.03,26.47,31.74,45.77,5.96,53.76,Sorghum
112.02,59.99,29.34,28.29,66.93,7.52,36.51,Cotton
15.28,8.56,48.98,30.92,37.64,7.46,95.39,Pomegranate
9.35,67.75,22.29,27.99,59.78,6.93,139.81,Pigeonpea
56.99,74.84,55.3,32.31,84.84,6.52,170.85,Papaya
22.1,63.97,21.74,26.28,72.02,7.49,43.89,Greengram
60.13,60.12,202.84,23.12,78.03,7.03,187.99,Turmeric
19.72,11.91,40.22,28.99,32.68,6.55,62.92,Pomegranate
29.57,8.88,48.76,28.47,77.81,6.76,138.0,Coconut
88.5,42.85,55.67,24.1,58.62,6.05,126.23,Tapioca
89.88,87.72,45.48,32.79,79.1,6.42,125.16,Banana
37.18,61.96,49.75,24.23,85.85,6.74,169.9,Papaya
117.87,63.73,46.58,33.28,66.55,7.14,74.8,Chilli
73.63,70.66,202.22,21.27,88.91,6.77,196.79,Turmeric
17.44,13.08,44.67,24.34,84.54,5.72,153.16,Coconut
61.15,65.34,53.9,26.78,88.11,6.31,117.74,Papaya
18.76,51.8,31.29,25.56,66.22,6.11,122.27,Groundnut
74.96,47.69,41.65,22.26,91.98,6.5,190.3,Rice
75.29,30.83,18.61,33.66,57.43,6.51,43.39,Millet
57.83,68.0,209.73,31.45,77.96,6.61,172.66,Turmeric
117.97,69.2,41.02,25.0,58.98,6.77,85.16,Chilli
15.76,7.72,33.51,25.84,38.33,7.24,42.82,Pomegranate
62.74,36.89,19.73,27.62,62.47,6.32,72.01,Millet
100.33,23.81,26.83,27.02,68.02,5.67,221.06,Coffee
118.48,65.65,43.67,32.04,72.25,6.25,83.57,Chilli
89.1,41.61,33.86,29.71,63.69,6.31,96.56,Maize
5.51,56.57,25.33,34.27,73.07,5.55,105.13,Pigeonpea
28.47,33.43,32.48,36.31,59.02,5.66,136.47,Mango
94.44,35.43,51.83,30.98,77.47,6.92,276.05,Rice
75.19,30.8,47.19,29.98,84.89,6.79,163.32,Sugarcane
117.22,28.2,26.29,31.74,79.46,6.59,236.99,Sugarcane
32.25,13.81,31.65,28.07,49.0,6.79,74.21,Pomegranate
36.27,43.46,37.0,34.55,64.56,6.58,52.67,Sesame
63.25,48.31,47.82,31.13,74.42,5.94,55.61,Maize
58.02,68.75,53.82,30.15,85.0,6.02,161.2,Papaya
39.37,66.27,78.14,27.25,29.53,7.3,78.3,Chickpea
28.99,20.57,46.48,25.49,86.88,5.37,91.39,Coconut
104.15,30.42,27.83,23.15,62.39,6.12,121.65,Coffee
18.3,16.31,39.57,32.82,60.39,6.49,104.39,Mango
45.38,60.82,46.86,33.34,89.7,7.1,151.85,Papaya
16.44,10.34,33.4,28.76,43.38,7.21,49.32,Pomegranate
33.46,17.52,46.05,29.76,84.12,6.32,158.17,Coconut
65.24,46.42,43.4,28.53,77.19,6.13,268.66,Rice
72.54,34.72,32.04,25.86,82.32,6.79,214.59,Sugarcane
21.11,22.99,28.53,29.6,84.32,6.67,158.56,Coconut
128.14,52.48,17.58,27.39,73.51,6.2,48.66,Cotton
79.06,39.89,51.58,16.01,84.66,5.64,199.87,Cardamom
104.5,84.66,53.92,27.29,88.82,5.67,159.63,Banana
97.7,58.02,34.66,31.1,83.05,5.62,179.24,Rice
79.15,33.13,25.52,27.48,59.62,7.37,75.14,Millet
98.18,53.51,51.09,23.93,86.74,5.69,170.04,Rice
28.44,15.12,25.66,26.5,57.7,6.23,138.72,Mango
24.28,19.52,29.53,35.71,64.13,6.65,134.29,Mango
38.92,37.32,39.36,36.07,63.1,5.7,54.96,Sesame
14.42,67.16,27.3,34.63,71.59,6.73,66.47,Greengram
34.32,13.18,32.24,30.26,87.13,6.04,159.21,Coconut
70.8,26.99,53.43,33.01,70.49,6.95,95.11,Tapioca
112.34,54.68,51.6,26.11,70.02,6.7,71.41,Chilli
44.98,73.44,73.28,20.15,33.05,6.73,76.12,Chickpea
96.2,52.33,44.8,25.91,82.9,6.77,226.05,Rice
55.74,69.02,48.16,30.99,83.9,7.0,143.27,Papaya
18.41,20.76,28.37,29.59,91.85,6.07,119.46,Coconut
85.9,38.37,40.74,27.0,57.85,7.65,47.87,Millet
106.04,73.23,48.65,26.72,58.85,7.1,72.12,Chilli
69.12,31.85,34.89,30.67,58.8,5.91,40.99,Millet
108.33,57.21,32.35,30.2,70.45,6.62,47.95,Cotton
89.22,20.24,25.16,21.37,74.13,5.55,209.85,Coffee
75.2,46.46,36.77,28.71,72.28,6.82,108.35,Maize
26.45,62.38,14.95,33.46,71.58,5.52,102.34,Groundnut
64.05,25.29,28.82,29.21,45.19,7.63,87.39,Sorghum
58.3,50.92,51.34,29.42,90.41,6.32,148.73,Papaya
35.94,13.53,30.0,24.88,87.93,6.67,123.11,Coconut
80.36,30.98,22.59,29.4,45.98,7.11,81.28,Sorghum
93.18,33.26,45.43,27.81,60.77,7.46,93.87,Maize
83.26,73.16,54.71,33.93,76.41,6.4,143.82,Banana
36.71,14.35,36.56,29.02,81.96,6.51,142.52,Coconut
73.62,25.92,48.55,20.74,69.42,6.13,246.25,Cardamom
44.05,59.25,75.24,24.42,25.41,6.69,65.41,Chickpea
34.15,64.04,20.81,28.31,56.22,5.9,66.29,Greengram
49.49,24.33,22.45,30.07,42.3,7.36,85.91,Sorghum
18.84,18.25,39.73,32.13,49.09,7.25,123.91,Mango
29.91,58.99,32.42,32.82,61.82,7.14,74.52,Greengram
100.25,69.19,50.94,31.47,74.63,6.51,137.16,Banana
36.89,34.06,38.99,35.66,65.02,6.51,53.94,Sesame
68.47,64.62,49.88,26.79,86.67,6.32,152.16,Papaya
57.11,62.99,204.07,25.45,77.09,6.23,128.84,Turmeric
27.1,68.91,16.54,31.04,60.02,6.7,180.31,Pigeonpea
56.13,76.91,78.24,25.27,19.34,6.75,77.06,Chickpea
15.51,18.1,37.75,28.21,88.05,6.74,160.21,Coconut
45.32,62.32,206.32,27.25,78.74,6.19,216.78,Turmeric
72.33,35.73,28.14,28.81,82.88,6.33,201.72,Sugarcane
23.99,58.44,28.76,33.85,58.5,5.79,114.23,Groundnut
28.17,54.82,31.79,31.95,59.35,6.35,154.79,Pigeonpea
59.71,67.3,53.5,30.78,89.33,7.2,184.96,Papaya
73.51,31.32,53.87,21.21,73.57,5.93,183.41,Cardamom
91.44,15.8,29.32,20.78,62.41,5.58,203.61,Coffee
32.06,60.89,21.91,27.45,60.71,7.18,36.04,Greengram
59.67,34.55,31.93,28.44,50.96,7.21,76.12,Millet
65.34,38.52,53.82,22.6,89.89,5.96,195.32,Rice
90.2,47.58,54.16,26.68,67.52,6.51,86.55,Tapioca
86.22,25.91,49.76,26.85,86.9,6.52,245.43,Cardamom
59.93,25.84,49.18,20.94,88.29,5.68,200.55,Cardamom
33.42,61.57,82.38,22.58,32.92,6.6,80.22,Chickpea
58.08,65.56,207.84,29.7,80.0,5.73,158.9,Turmeric
86.35,27.98,48.01,33.09,61.55,6.15,82.71,Tapioca
19.98,17.22,26.54,33.59,57.06,7.66,154.18,Mango
139.81,57.76,15.38,23.78,58.58,7.07,84.53,Cotton
45.83,44.43,30.59,35.33,67.8,7.24,98.58,Sesame
54.8,26.83,33.28,30.18,58.17,6.69,50.14,Millet
12.36,16.94,48.78,27.03,96.29,6.1,163.53,Coconut
14.0,21.92,44.71,37.13,47.83,7.1,67.06,Pomegranate
22.1,24.93,28.32,32.4,61.27,6.01,121.6,Mango
61.93,34.26,35.5,26.64,47.18,6.37,82.43,Millet
75.8,37.36,42.7,34.12,78.92,6.79,213.66,Sugarcane
27.16,19.86,46.94,35.81,35.36,7.05,64.26,Pomegranate
26.15,53.69,25.79,35.6,72.06,6.7,40.59,Greengram
59.69,42.89,27.69,31.28,46.53,6.17,71.9,Sorghum
23.69,14.8,40.55,26.08,49.58,6.66,68.92,Pomegranate
17.16,26.44,33.38,30.51,64.93,6.77,88.33,Mango
25.75,59.84,14.13,29.24,66.66,6.64,96.05,Blackgram
57.25,51.98,196.09,30.71,78.55,6.19,196.24,Turmeric
75.12,49.67,49.99,29.82,84.83,6.17,278.53,Rice
40.03,72.13,81.91,19.59,16.54,7.28,71.3,Chickpea
114.91,56.19,44.8,34.34,67.98,6.41,47.75,Chilli
97.41,14.7,27.71,18.22,63.03,5.91,130.29,Coffee
55.0,66.4,199.82,29.46,78.47,6.7,137.63,Turmeric
20.08,70.84,26.0,25.33,79.05,7.18,66.59,Blackgram
83.84,75.2,51.87,23.87,75.77,6.07,86.96,Banana
69.24,19.72,21.84,35.86,53.22,6.73,76.23,Sorghum
70.8,35.6,45.95,29.16,55.58,5.84,119.03,Tapioca
72.91,22.95,30.95,33.2,85.6,6.46,203.23,Sugarcane
12.12,20.0,44.53,33.76,31.84,7.26,79.26,Pomegranate
90.36,29.82,38.25,17.03,82.9,5.03,246.41,Cardamom
30.25,30.38,24.89,35.78,63.64,6.99,91.49,Mango
40.73,51.47,19.16,26.07,60.05,6.56,108.96,Groundnut
78.19,32.8,55.4,30.91,58.78,6.23,87.14,Tapioca
110.99,26.94,36.61,21.32,67.03,5.65,200.29,Coffee
69.16,55.3,41.75,34.09,71.72,6.26,82.39,Maize
92.97,73.42,46.41,25.38,82.88,6.25,149.19,Banana
91.86,20.78,28.77,25.35,78.03,6.19,188.93,Coffee
81.87,31.74,25.41,35.55,63.66,7.38,80.43,Millet
16.74,9.5,46.43,26.21,74.7,5.7,135.71,Coconut
60.46,60.89,203.95,31.69,80.07,6.53,159.54,Turmeric
117.51,43.05,19.66,33.47,77.71,6.56,67.16,Cotton
107.46,22.94,28.15,22.56,68.07,5.8,202.24,Coffee
33.44,25.92,45.92,27.8,75.45,5.78,179.61,Coconut
103.12,32.85,49.89,34.54,78.01,6.69,232.38,Sugarcane
93.08,87.4,55.97,25.5,76.84,6.11,115.5,Banana
102.15,17.61,33.09,22.49,66.02,6.11,164.27,Coffee
49.71,69.36,80.64,22.22,19.09,7.44,67.64,Chickpea
69.73,47.21,40.93,26.3,74.32,7.81,63.82,Maize
112.94,44.93,21.67,31.74,57.83,6.59,26.92,Cotton
45.54,58.05,72.09,22.86,14.81,6.67,86.51,Chickpea
69.45,28.96,40.86,25.42,67.07,6.67,121.45,Tapioca
46.48,65.42,82.01,24.84,15.32,6.0,83.64,Chickpea
120.99,88.2,49.41,30.42,83.86,5.45,132.22,Banana
51.18,66.99,55.96,31.08,87.49,6.99,155.16,Papaya
75.27,23.56,51.03,18.71,72.13,6.02,263.19,Cardamom
